TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
200800A,424940,Tobacco & tobacco products,171,$93046908.20
200800A,561300,Employment services,5547,$1468823409.26
201300A,541330,Engineering services,1288,$546100646.99
200600A,235210,Painting and Wall Covering Contractors (1997 NAICS),1624,$450295407.46
201300A,424400,Grocery & related products,1415,$5483874028.61
200900A,234990,Other Heavy and Civil Engineering Construction,65,$44710909.00
201100A,441300,"Automotive parts, accessories, & tire stores",717,$158068275.42
201300A,441229,All other motor vehicle dealers,412,$840061925.80
201100A,561300,Employment services,5426,$1293933408.58
200500A,721310,Rooming & boarding houses,301,$163208843.00
200700A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,168,$40122840.92
201500A,451110,Sporting goods stores,404,$214707446.00
200800A,516110,Internet publishing & broadcasting,726,$121478700.00
201000A,445220,Fish & seafood markets,51,$43663803.00
201300A,561790,Other services to buildings & dwellings,2434,$59226209.00
201000A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",426,$259818128.00
200700A,447100,Gasoline stations (including convenience stores with gas),454,$2049608445.00
200800A,541510,Computer systems design & related services,1636,$601016224.29
201600A,423200,Furniture &  home furnishing,481,$297563536.00
201300A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),179,$374235226.07
201100A,444110,Home centers,41,$139791990.00
200700A,488000,Support activities for transportation (including motor vehicle towing),728,$747239033.00
200900A,447100,Gasoline stations (including convenience stores with gas),488,$2486611570.00
200800A,519100,Other information services (including news syndicates and libraries),305,$149316798.00
201400A,445290,Home furnishings stores,636,$426626316.00
201300A,423910,Sporting & recreational goods & supplies,293,$139404891.00
201600A,424940,Tobacco & tobacco products,523,$116508301.00
200500A,541320,Landscape architecture services,592,$80276348.85
200600A,448320,Luggage & leather goods stores,39,$12344176.00
201700A,,,2494,$189467096.64
201300A,,,170535,$36766679156.18
200600A,423300,Lumber & other construction materials,262,$887459733.00
201100A,811120,"Automotive body, paint, interior, & glass repair",466,$109649399.00
201600A,621510,Medical & diagnostic laboratories,632,$526090694.00
200500A,621111,Offices of physicians (except mental health specialists),3826,$2142381602.79
201400A,811420,Reupholstery & furniture repair,235,$28490050.00
201500A,423920,Toy & hobby goods & supplies,320,$119616245.00
201300A,562000,Waste management & remediation services,203,$189934273.86
201500A,448150,Clothing accessories stores,1345,$410695926.56
201400A,541100,Legal services,7263,$8777838929.90
200700A,624100,Individual & family services,517,$26464875.00
201500A,624310,Vocational rehabilitation services,93,$20210659.00
200500A,313000,Textile mills,15,$5115504.00
201200A,234990,Other Heavy and Civil Engineering Construction,74,$56440251.00
200700A,523210,Securities & commodity exchanges,9,$17471799.00
201200A,541930,Translation & interpretation services,252,$25522775.00
201500A,621510,Medical & diagnostic laboratories,621,$460748572.85
200700A,532100,Automotive equipment rental & leasing,236,$595428384.00
201500A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",3107,$759797553.00
200500A,561430,Business service centers (including private mail centers & copy shops),206,$87650104.25
200700A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",81,$1878539651.20
201300A,813000,"Religious, grantmaking, civic, professional, & similar organizations",148,$7375438.00
201700A,621320,Offices of optometrists,4,$0.00
201700A,811210,Electronic & precision equipment repair & maintenance,18,$272477.00
201500A,811110,Automotive mechanical & electrical repair & maintenance,2371,$242767305.32
201400A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2859,$790987139.68
200800A,235930,Excavation Contractors (1997 NAICS),49,$80959436.00
201500A,812112,Beauty salons,1746,$71485191.96
201600A,621391,Offices of podiatrists,104,$28947155.00
200500A,532230,Video tape & disc rental,64,$7346603.00
201700A,442200,Home furnishings stores,24,$7498239.00
200500A,235510,Carpentry Contractors (1997 NAICS),373,$121011492.82
201500A,336000,Transportation equipment mfg.,97,$121292293.00
200500A,485210,Interurban & rural bus transportation,2,$0.00
201400A,541910,Market research & public opinion polling,443,$236860118.00
201200A,713100,Amusement parks & arcades,27,$20430127.00
200900A,441229,All other motor vehicle dealers,342,$592231349.00
201300A,621340,"Offices of physical, occupational & speech therapists, & audiologists",942,$80436784.00
201100A,541930,Translation & interpretation services,225,$17507433.18
201200A,451110,Sporting goods stores,323,$177850677.00
200500A,235310,Electrical Contractors (1997 NAICS),1049,$251476700.84
201000A,812930,Parking lots & garages,1177,$362177656.00
201400A,812210,Funeral homes & funeral services,63,$20346820.00
201000A,334000,Computer & electronic product mfg.,830,$304295038.36
200800A,812990,All other personal services,6625,$240676668.11
201200A,324100,Petroleum & coal products mfg.,18,$133478799.00
200500A,541100,Legal services,4078,$5371316880.50
201400A,423920,Toy & hobby goods & supplies,306,$112503366.32
201600A,812190,Other personal care services (including diet & weight reducing centers),995,$63032895.50
200800A,423800,"Machinery, equipment, & supplies",742,$902713916.00
200500A,511000,Publishing industries (except Internet),111,$186543342.00
200900A,238990,All other specialty trade contractors,2148,$638313052.29
201000A,624310,Vocational rehabilitation services,53,$13279899.00
201600A,235110,"Plumbing, Heating, and Air-Conditioning Contractors (1997 NAICS)",2855,$941561603.70
201600A,711100,Performing arts companies,796,$432190037.13
201300A,448150,Clothing accessories stores,1017,$261733423.97
201200A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),156,$298375233.00
201000A,322000,Paper mfg.,48,$14191631.00
200600A,443111,Household appliance stores,227,$204721776.12
201300A,624100,Individual & family services,1159,$82517598.20
200500A,532400,Commercial & industrial machinery & equipment rental & leasing,151,$394177307.00
201500A,311600,Animal Slaughtering and Processing,18,$26894581.00
201400A,532310,General rental centers,93,$26250612.00
201600A,532310,General rental centers,103,$41284878.00
201400A,532210,Consumer electronics & appliances rental,647,$545251530.00
201100A,624410,Child day care services,1712,$129649002.07
201600A,423100,Motor vehicle & motor vehicle parts & supplies,846,$2160274390.00
201500A,323100,Printing & related support activities,1172,$463393417.98
200600A,622000,Hospitals,99,$710862982.00
200500A,722211,Limited-service eating places,181,$71837541.00
200600A,442200,Home furnishings stores,607,$618032936.00
201100A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),636,$185901871.00
201100A,444200,Lawn & garden equipment & supplies stores,107,$37648876.00
200900A,453310,Used merchandise stores,218,$36136997.00
201700A,448310,Jewelry stores,32,$810460.00
201500A,423200,Furniture &  home furnishing,522,$271610723.00
201400A,444110,Home centers,51,$163147003.12
201100A,523120,Securities brokers,120,$703811907.00
201500A,424300,"Apparel, piece goods, & notions",3623,$3163839008.05
201500A,813000,"Religious, grantmaking, civic, professional, & similar organizations",159,$8227853.00
201600A,444190,Other building materials dealers,421,$1153092815.00
201500A,321000,Wood product mfg.,216,$27595122.00
201000A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",1041,$327987905.35
200900A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",126,$25969832.00
201400A,621111,Offices of physicians (except mental health specialists),5569,$3204260149.31
200700A,532290,Other consumer goods rental,1977,$407148660.76
200600A,531320,Offices of real estate appraisers,74,$6061411.65
200800A,523900,Other financial investment activities (including investment advice),1307,$5693488391.52
201400A,321000,Wood product mfg.,194,$23105027.00
201600A,313000,Textile mills,181,$40628822.00
201500A,423500,Metal & mineral (except petroleum),257,$297712461.00
200600A,541370,Surveying & mapping (except geophysical) services,35,$5854212.00
200700A,541510,Computer systems design & related services,1447,$652290549.62
200700A,444130,Hardware stores,456,$729368422.00
200500A,522300,Activities related to credit intermediation (including loan brokers),325,$86522989.80
201300A,812330,Linen & uniform supply,50,$78699335.00
201200A,561790,Other services to buildings & dwellings,2010,$50518115.00
201100A,523140,Commodity contracts brokers,23,$19675729.00
200900A,541211,Offices of certified public accountants,456,$395808290.00
200800A,211110,Oil & gas extraction,45,$121335192.00
201100A,445310,"Beer, wine & liquor stores",541,$168138077.17
201200A,326000,Plastics & rubber products mfg.,123,$91682498.00
200600A,454210,Vending machine operators,190,$28114136.00
200700A,424950,"Paint, varnish, & supplies",75,$140869797.00
201700A,115210,Support activities for animal production (including farriers),13,$184265.00
201200A,517000,Telecommunications,187,$1265503405.00
200900A,561790,Other services to buildings & dwellings,1222,$36720153.00
201200A,561410,Document preparation services,164,$15584283.00
201000A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",757,$117191839.62
201300A,722110,Full-service restaurants,6520,$4346142001.66
200800A,233220,Multifamily Housing Construction (1997 NAICS),750,$1542746153.00
201500A,235910,Structural Steel Erection Contractors (1997 NAICS),153,$195433532.00
200800A,453930,Manufacture (mobile) home dealers,34,$233785067.00
201200A,454111,Electronic shopping,363,$23191067.60
201400A,531310,Real estate property managers,3616,$1281080583.00
201600A,454310,Fuel dealers,94,$813082929.64
201700A,524210,Insurance agencies & brokerages,33,$4336135.00
201100A,712100,"Museums, historical sites, & similar institutions",13,$8480527.00
201600A,713200,Gambling industries,13,$5701706.00
201000A,332000,Fabricated metal product mfg.,240,$367876186.00
201200A,238110,Poured concrete foundation & structure contractors,228,$136318647.00
200800A,424300,"Apparel, piece goods, & notions",2921,$2400892671.21
200600A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),112,$286597768.00
201300A,311800,Bakeries & tortilla mfg.,575,$113510367.98
201000A,541370,Surveying & mapping (except geophysical) services,46,$6591552.00
200500A,541330,Engineering services,726,$332935001.64
200500A,334000,Computer & electronic product mfg.,385,$209630336.73
200900A,443111,Household appliance stores,306,$183485379.43
201200A,234120,Bridge and Tunnel Construction (1997 NAICS),89,$32953598.00
200700A,531390,Other activities related to real estate,347,$167674595.43
201200A,811410,Home & garden equipment & appliance repair & maintenance,293,$17282947.04
200700A,423920,Toy & hobby goods & supplies,178,$108572750.00
201700A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",6,$105362.00
201300A,541214,Payroll services,96,$34765698.00
201400A,541600,"Management, scientific, & technical consulting services",11137,$2333990456.58
201700A,487000,Scenic & sightseeing transportation,5,$0.00
201400A,423800,"Machinery, equipment, & supplies",848,$927598921.16
200800A,812920,Photofinishing,103,$7665198.00
200700A,811430,Footwear & leather goods repair,121,$5315026.00
200800A,333000,Machinery mfg.,61,$49095556.00
201500A,326000,Plastics & rubber products mfg.,168,$150346035.43
201400A,512200,Sound recording industries,1480,$502926958.89
200800A,523120,Securities brokers,111,$1232091509.00
201000A,524210,Insurance agencies & brokerages,870,$491044437.49
